country,year,gdp_per_capita,life_expectancy,infant_mortality,health_spending,smoking_rate,birth_rate
PSS,2020,3666.08926363725,68.3568108792759,19.4172902530281,227.952101156833,31.5634112735411,24.302041626694
PSS,2021,3649.53388709298,67.4810209240703,19.3875368754956,264.308702277573,31.3752591451696,24.0146262103917
PSS,2022,3888.62868011839,69.1004348993561,19.2214754830071,219.941936686575,31.1083177938967,23.618105175394
PSS,2023,4153.19706628517,69.2745949035856,18.9596956716323,,,23.2645971514459
PST,1990,19124.5410123401,75.473991731623,9.03249586664735,,,13.4724542629429
PST,1991,20028.0054722375,75.6090759076253,8.68499791675278,,,13.1815246775163
PST,1992,21339.1177031266,75.7166150305184,8.40617337649725,,,12.940420673522
PST,1993,21354.9938470011,75.7231520791668,8.02644069110116,,,12.5740216210305
PST,1994,22742.6915810623,76.0312406656581,7.59147138952546,,,12.3151197098828
PST,1995,25095.5780633318,76.0734629753437,7.2701293988132,,,11.9989026112627
PST,1996,25075.6913834595,76.4365491203333,6.96229620632883,,,11.8831421746038
PST,1997,24454.2587765796,76.7755552244692,6.69253615384668,,,11.7340736844167
PST,1998,24436.9186583273,76.9698452316562,6.45409144092506,,,11.6374048248668
PST,1999,25546.730886979,77.092735203919,6.23658297170722,,,11.5082618758053
PST,2000,25863.3815768589,77.3513756471438,6.05874316335672,2478.16146600839,33.9376160363156,11.6132590935026
PST,2001,25491.5748215839,77.6340698596268,5.8865628877348,2570.46055865976,,11.3031330790406
PST,2002,26456.9686574696,77.771842585777,5.78835332462193,2788.79906254074,,11.187222305458
PST,2003,29517.9859216064,77.8873480039422,5.66168479243436,3171.67711164334,,11.2204141175928
PST,2004,32633.3599654253,78.3070690267902,5.51836143075822,3489.84457912806,,11.2131996084835
PST,2005,34174.9575642846,78.410884260835,5.43247240372577,3679.76622191491,30.7669894314853,11.1312405122123
PST,2006,35768.7938731612,78.7291498117515,5.32887333193992,3880.9466667998,,11.3721646548946
PST,2007,38809.8691695916,78.9805173339684,5.20515933205454,4212.3257313321,29.658370747207,11.4888366894863
PST,2008,40864.2426647614,79.1456240590947,5.08973853247444,4503.38531686031,,11.5288168879097
PST,2009,38285.8384953028,79.4684041481196,4.95408000289414,4576.00610908308,,11.2879068367981
PST,2010,39742.8120680719,79.6785405516336,4.7919235293189,4728.34941882334,28.0310876668168,11.1512938893695
PST,2011,42571.9228706841,79.9443824717696,4.6807466658976,5085.69212172871,,10.9621580217228
PST,2012,42306.3882268814,80.088710974095,4.57899222200574,5103.82063467794,,10.9104201545635
PST,2013,42602.2415892635,80.2734415662981,4.50263686637708,5127.89949234764,,10.6278776221311
PST,2014,43284.9519696182,80.5390454613178,4.4097452522303,5279.92855904533,,10.6370759628077
PST,2015,40767.6732069989,80.4400997313335,4.36023997668223,5108.03596322978,25.636177254583,10.5205105666588
PST,2016,41511.1088722467,80.6112411501517,4.28373268861762,5270.92887590256,,10.4082859149226
PST,2017,43134.0864740614,80.6650553844053,4.21335019048368,5445.85688712309,,10.0509364301963
PST,2018,45528.3268108868,80.7442826647034,4.18888249540161,5714.04822013046,,9.81289690951896
PST,2019,45864.970468297,80.9700933374947,4.1220030933533,5830.5698024451,,9.56667070678909
PST,2020,44887.3835189149,80.0659140743109,4.10139169008525,6348.53441356553,23.6131329273475,9.21703129825059
PST,2021,50022.0389228787,79.7955815488505,4.09641477391411,6837.68285992763,23.2444713593994,9.25292453841917
PST,2022,51102.3562661077,80.1978532076615,4.09082593379732,6984.79144973527,22.843063234021,8.95633298547774
PST,2023,53961.341810452,80.8228346378274,4.07979128956356,,,8.63161095913621
PYF,1990,16293.1823294474,73.908,,,,28.808
PYF,1991,16414.8132696888,74.295,,,,27.45
PYF,1992,17554.3737937032,74.746,,,,26.548
PYF,1993,16469.7751983669,75.191,,,,25.971
PYF,1994,16806.0592491122,75.65,,,,24.703
PYF,1995,18850.3149185956,76.243,,,,23.243
PYF,1996,18475.7253329475,76.813,,,,22.55
PYF,1997,16423.0214308681,77.38,,,,21.407
PYF,1998,16759.7141702526,77.842,,,,20.557
PYF,1999,16532.9022343754,78.574,,,,21.298
PYF,2000,14978.324104668,79.0,,,,21.396
PYF,2001,14640.9360062298,79.316,,,,20.782
PYF,2002,16004.0583292112,79.544,,,,19.973
PYF,2003,19582.8936395312,79.71,,,,18.605
PYF,2004,21764.2203208782,79.829,,,,18.075
PYF,2005,21984.1936230719,79.951,,,,17.925
PYF,2006,22330.8676659055,80.1,,,,18.184
PYF,2007,24888.1781337361,80.328,,,,17.391
PYF,2008,26592.0262835732,80.587,,,,18.028
PYF,2009,24434.2197555208,80.867,,,,17.662
PYF,2010,22494.806706186,81.141,,,,17.823
PYF,2011,22831.5185348524,81.434,,,,16.92
PYF,2012,20846.5457478364,81.695,,,,16.532
PYF,2013,21955.6329264095,81.935,,,,15.713
PYF,2014,22258.6321384251,82.151,,,,15.799
PYF,2015,19166.9594761931,82.339,,,,15.001
PYF,2016,19690.0775734589,82.555,,,,13.999
PYF,2017,20826.9312492172,82.774,,,,13.146
PYF,2018,21925.616043938,82.985,,,,12.812
PYF,2019,21582.5892046801,83.195,,,,11.938
PYF,2020,19966.4838503859,82.459,,,,11.782
PYF,2021,21982.9038942614,79.571,,,,11.424
PYF,2022,20738.6499971661,83.859,,,,11.156
PYF,2023,22774.1418988734,84.07,,,,10.907
QAT,1990,16721.6207714589,73.405,17.4,,,23.526
QAT,1991,15133.4969397069,73.654,16.3,,,22.325
QAT,1992,16280.2938815273,73.876,15.2,,,21.66
QAT,1993,14769.7193322522,74.071,14.3,,,21.151
QAT,1994,14764.8771355222,74.245,13.5,,,20.565
QAT,1995,15822.5090711554,74.404,12.8,,,19.868
QAT,1996,17124.7920861356,74.558,12.2,,,19.088
QAT,1997,20522.8012995179,74.713,11.7,,,18.001
QAT,1998,17665.4408438222,74.872,11.2,,,17.499
QAT,1999,20233.6846826643,75.048,10.8,,,17.275
QAT,2000,27535.182940934,75.25,10.4,553.08605957,12.9,17.318
QAT,2001,25870.7991864314,75.486,10.0,598.73602295,,17.59
QAT,2002,27226.6593510117,75.766,9.6,668.85986328,,17.352
QAT,2003,31602.470865136,76.097,9.3,1115.45336914,,16.921
QAT,2004,41035.5008380177,76.484,9.0,1261.61999512,,16.259
QAT,2005,53949.6764091147,76.909,8.7,1386.015625,12.7,15.436
QAT,2006,62582.4453138755,77.323,8.4,1378.9296875,,11.972
QAT,2007,65954.3419525051,77.741,8.1,1301.49682617,12.6,10.783
QAT,2008,80781.4039187792,78.262,7.9,1292.60046387,,11.226
QAT,2009,60785.7351551657,78.837,7.7,1325.43005371,,10.98
QAT,2010,77387.3267885308,79.444,7.5,1309.79272461,12.5,11.223
QAT,2011,103261.506539346,79.994,7.3,1482.28308105,,11.33
QAT,2012,108470.378825036,80.499,7.1,1712.67089844,,11.397
QAT,2013,103697.008372373,80.974,6.9,2029.8659668,,11.367
QAT,2014,95840.6310094498,81.395,6.7,2252.4140625,,11.131
QAT,2015,68985.2946961507,81.785,6.4,2422.64453125,12.5,10.596
QAT,2016,61253.6375482797,82.147,6.2,2072.06103516,,9.969
QAT,2017,63279.8556949332,82.458,5.9,1911.95361328,,10.031
QAT,2018,71039.8490579352,82.714,5.6,1966.55712891,,9.921
QAT,2019,66841.3013484919,82.945,5.4,2007.51525879,,9.979
QAT,2020,51683.5054376677,80.409,5.2,1967.15197754,12.5,10.046
QAT,2021,71751.8831257169,81.083,5.1,1847.00231934,12.5,9.555
QAT,2022,88701.463352273,81.857,5.0,1781.56030273,12.5,10.099
QAT,2023,80195.8746508549,82.368,4.9,,,9.908
ROU,1990,1648.48522974542,69.7412195121951,24.6,,,13.6
ROU,1991,1254.3124421298,69.7843902439024,23.4,,,12.0
ROU,1992,1102.10378473246,69.7843902439024,22.6,,,11.4
ROU,1993,1158.05632799712,69.5634146341464,22.3,,,11.0
ROU,1994,1323.03237766927,69.509756097561,22.3,,,10.9
ROU,1995,1650.04922365201,69.4560975609756,22.2,,,10.4
ROU,1996,1633.01064354117,69.1048780487805,21.9,,,10.2
ROU,1997,1577.33656023974,69.0048780487805,21.3,,,10.5
ROU,1998,1852.5549693339,69.8073170731708,20.2,,,10.5
ROU,1999,1599.90622808339,70.5121951219512,19.1,,,10.4
ROU,2000,1659.92904910528,71.1634146341463,18.1,69.89345551,36.9,10.4
ROU,2001,1825.19299373184,71.1609756097561,17.4,78.8175354,,10.0
ROU,2002,2119.85509684554,71.009756097561,17.0,96.57698822,,9.7
ROU,2003,2679.40626016154,71.309756097561,16.9,143.54553223,,9.8
ROU,2004,3494.99056448955,71.5609756097561,16.5,190.7950592,,10.1
ROU,2005,4618.00350802913,71.9121951219512,15.5,254.52961731,35.3,10.4
ROU,2006,5757.53127301178,72.1634146341463,14.2,291.00408936,,10.4
ROU,2007,8360.33775916596,72.5658536585366,12.9,415.06790161,34.6,10.3
ROU,2008,10435.1561230787,72.5658536585366,11.9,521.31561279,,10.8
ROU,2009,8548.4543409242,73.309756097561,11.1,449.37692261,,10.9
ROU,2010,8399.5374234284,73.4585365853659,10.5,472.20751953,33.6,10.5
ROU,2011,9560.6755277458,74.409756097561,10.0,426.59973145,,9.7
ROU,2012,8929.95366231474,74.4121951219512,9.5,401.67105103,,10.0
ROU,2013,9497.67411615237,75.0634146341463,8.9,495.23623657,,9.4
ROU,2014,10031.7710755404,74.909756097561,8.3,503.34753418,,10.0
ROU,2015,8977.01748158196,74.9121951219512,7.7,442.24038696,32.0,10.2
ROU,2016,9404.54005870715,75.209756097561,7.1,476.24505615,,10.4
ROU,2017,10727.9822007426,75.209756097561,6.5,555.11309814,,10.8
ROU,2018,12502.2624061935,75.3585365853659,6.0,687.15411377,,10.4
ROU,2019,12992.0326104674,75.6073170731707,5.6,738.5581665,,10.3
ROU,2020,13082.3006559554,74.2536585365854,5.4,809.58880615,30.7,10.3
ROU,2021,14986.7854904274,72.809756097561,5.3,963.01287842,30.3,10.1
ROU,2022,15557.8826247584,75.1536585365854,5.4,902.2677002,30.0,9.4
ROU,2023,18404.2730871704,76.6073170731707,5.4,,,8.0
RUS,1990,3494.06323242188,68.8860975609756,17.5,,,13.4
RUS,1991,3490.45239257813,68.4743902439024,17.4,,,12.1
RUS,1992,3098.802734375,66.8731707317073,17.5,,,10.7
RUS,1993,2930.67016601563,64.9358536585366,17.7,,,9.4
RUS,1994,2662.10400390625,64.4670731707317,17.8,,,9.5
RUS,1995,2665.77978515625,64.6907317073171,17.7,,,9.3
RUS,1996,2643.92919921875,65.8541463414634,17.5,,,8.9
RUS,1997,2737.57202148438,66.6987804878049,17.2,,,8.6
RUS,1998,1834.86181640625,67.029756097561,16.8,,,8.8
RUS,1999,1330.75720214844,65.9821951219512,16.2,,,8.3
RUS,2000,1771.59411621094,65.4836585365854,15.6,95.20859528,32.7,8.7
RUS,2001,2100.3525390625,65.3834146341463,14.8,117.87785339,,9.0
RUS,2002,2377.52954101563,65.1287804878049,13.8,140.05729675,,9.7
RUS,2003,2975.123046875,65.0275609756098,12.9,163.31135559,,10.2
RUS,2004,4102.36474609375,65.4709756097561,11.9,207.61283875,,10.4
RUS,2005,5323.455078125,65.529756097561,11.0,270.1439209,31.6,10.2
RUS,2006,6920.19970703125,66.7275609756098,10.2,350.84014893,,10.3
RUS,2007,9101.2392578125,67.5868292682927,9.5,459.60116577,31.4,11.3
RUS,2008,11635.2841796875,67.9492682926829,9.0,606.77508545,,12.0
RUS,2009,8562.82421875,68.6846341463415,8.6,513.91033936,,12.3
RUS,2010,10674.990234375,68.8412195121951,8.3,564.30065918,30.8,12.5
RUS,2011,14305.33203125,69.6839024390244,8.1,681.04577637,,12.6
RUS,2012,15401.8515625,70.0721951219512,7.9,755.48553467,,13.3
RUS,2013,15941.4482421875,70.5787804878049,7.6,805.52130127,,13.2
RUS,2014,14055.47265625,70.7436585365854,7.2,736.32177734,,13.3
RUS,2015,9277.7138671875,71.1834146341463,6.6,496.9503479,30.0,13.3
RUS,2016,8663.158203125,71.6512195121951,6.1,463.29275513,,12.9
RUS,2017,10658.9130859375,72.4514634146342,5.6,577.06811523,,11.5
