country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
EAR,60.6383261325043,60.9285000051494,61.3966854252467,61.7375698841275,61.9773008421088,62.4045286349908,62.7427843008096,63.0987415789804,63.4369665976201,63.7793798044262,64.2196098284934,64.55670545203,64.9680746751559,65.2791550496845,65.5132392756465,65.9797864104925,66.3919300050345,66.7605467353129,67.0218187568003,67.496408245139,67.8244434669729,68.2600380693651,68.6094630284121,68.962837783411,69.3249758824304,69.6305484421664,69.9484837084835,70.2729949393554,70.5486659921504,70.8424064605001,69.8801308490982,68.1790994839633,71.4304552508694,71.7962449795855
EAS,68.2825492584448,68.6751933934946,69.0651062725422,69.4645680383496,69.7609957361386,70.0243977782735,70.4333037747705,70.790128954889,71.0996369774154,71.367553266776,71.7028323240299,72.0413059988772,72.3571058107458,72.7346908938812,72.812660596894,73.2984345512681,73.5640440034614,73.8948513504332,73.8481629943997,74.3683471715786,74.6299790050688,74.8252830592191,75.1059726864745,75.3347729864006,75.5644270391791,75.7926010192992,75.9870166732102,76.0789923585537,76.3914229383171,76.586261929345,76.5434376080231,76.1530093756951,76.6767834400676,76.6595183258032
ECA,68.2078850416034,68.0578562708201,67.2516325508894,67.0592633886878,67.3074919162119,67.4447367389633,67.7208847902853,68.0432457554526,68.3390752647748,68.2027797821178,68.8570531906331,69.0902777061194,69.3187306210865,69.5879019097604,69.7911486482047,69.9595147646973,70.2178659389806,70.5579786921334,70.9743175160426,71.442292156273,71.9125911481178,72.1509502224104,72.674516586065,73.1274427758791,73.4217488485404,73.7582707874779,74.0349273934992,74.4074945113083,74.5976698113306,74.821186588313,73.5589573506665,72.8874329657208,74.5786223390478,74.7987152767476
ECS,72.1943874149578,72.1536909841619,71.8543255872881,71.5316165448208,71.6871243400832,71.8302633979087,72.2499222308072,72.6453006861804,72.9146919444558,72.8390082653966,73.1137949733544,73.3559009015306,73.4464892451938,73.5628132914523,73.9880965104672,74.1537050552507,74.6398235785968,75.0087044515764,75.3023652452109,75.6892479352627,75.9954040762695,76.4794121218072,76.6805951350343,77.0325566033376,77.3536995594249,77.331142300321,77.6815195796899,77.8993049650609,78.0322195043255,78.3042683990405,77.1757484533311,76.7287266936821,77.8361130850842,78.3870183177038
ECU,68.445,69.04,69.468,70.07,70.876,71.349,71.82,72.007,71.949,71.92,72.09,72.571,73.164,73.632,73.868,73.909,74.01,74.226,74.709,74.901,75.188,75.179,75.486,75.832,76.141,76.222,76.094,76.22,77.248,77.286,72.004,72.746,76.577,77.392
EGY,62.513,63.059,63.585,64.147,64.663,65.214,65.733,66.207,66.635,67.01,67.332,67.612,67.846,68.045,68.211,68.355,68.493,68.627,68.761,68.915,69.078,69.232,69.464,69.632,69.911,70.135,70.437,70.709,70.974,71.213,69.79,68.976,71.01,71.633
EMU,75.8176710447045,75.967680459718,76.3077212128388,76.4132090987759,76.7241794048485,76.8823133359499,77.1483236763399,77.5088681140576,77.7189067294807,77.9456362720954,78.1997793340467,78.5435434936,78.6341349112633,78.6557621579425,79.2321623652194,79.3748507782536,79.8077212879617,80.0477786971356,80.2510876108346,80.4554611719191,80.6989426195589,81.1826341807676,81.1827315779388,81.4679843013023,81.8932526571977,81.5193991217567,81.9075874931284,81.8840085594743,82.0027602577719,82.2804211551829,81.4873571657503,81.5839330415712,81.6212237452298,82.1920076156423
ERI,49.733,50.516,52.436,53.189,54.027,54.822,55.498,56.155,49.997,44.506,56.285,58.359,58.941,59.455,60.063,60.628,61.457,61.998,62.422,63.203,63.665,64.231,64.697,65.005,65.517,65.909,66.242,66.612,66.979,67.306,66.98,66.94,67.789,68.624
ESP,76.8375609756098,76.9712195121951,77.41,77.5465853658537,77.9014634146342,77.9807317073171,78.1204878048781,78.6041463414634,78.6658536585366,78.7170731707317,78.9658536585366,79.3682926829268,79.5682926829268,79.619512195122,79.8707317073171,80.1707317073171,80.8219512195122,80.8731707317073,81.1756097560976,81.4756097560976,81.6268292682927,82.4756097560976,82.4268292682927,83.0780487804878,83.2292682926829,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.8317073170732,82.2317073170732,83.1780487804878,83.1341463414634,83.8829268292683
EST,69.4756097560976,69.3731707317073,68.8634146341464,67.909756097561,66.5,67.5439024390244,69.6121951219512,69.809756097561,69.3585365853659,70.0634146341463,70.4170731707317,70.2585365853659,70.9048780487805,71.3170731707317,71.909756097561,72.5682926829268,72.6914634146341,72.8146341463415,73.7707317073171,74.8243902439024,75.4292682926829,76.2292682926829,76.3268292682927,77.1414634146341,77.0341463414634,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244,77.8439024390244,78.490243902439
