country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,,,,,,,,,,37.6,,,,,30.0,,27.5,,,24.1,,,,,19.3,,,,,15.6,14.9,14.2,
GEO,,,,,,,,,,,33.3,,,,,32.8,,32.7,,,32.4,,,,,32.0,,,,,31.9,31.8,31.8,
GHA,,,,,,,,,,,7.1,,,,,6.0,,5.6,,,5.1,,,,,4.3,,,,,3.6,3.5,3.4,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,23.6,,,,,19.5,,18.0,,,16.0,,,,,13.4,,,,,11.2,10.8,10.5,
GNB,,,,,,,,,,,21.0,,,,,16.8,,15.3,,,13.4,,,,,10.9,,,,,8.9,8.6,8.2,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,55.8,,,,,49.1,,46.7,,,43.2,,,,,38.4,,,,,34.2,33.3,32.8,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,14.1,,,,,13.4,,13.2,,,13.0,,,,,12.5,,,,,12.1,12.0,11.9,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,31.3,,,,,24.6,,22.4,,,19.4,,,,,15.3,,,,,12.2,11.7,11.1,
HIC,,,,,,,,,,,33.4265268770332,,,,,30.4946234893911,,29.4782500556469,,,27.9671326798097,,,,,25.7100440625303,,,,,23.875442534628,23.5445611734338,23.178506995194,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,17.2,,,,,15.8,,15.3,,,14.6,,,,,13.5,,,,,12.7,12.5,12.3,
HPC,,,,,,,,,,,20.689135666041,,,,,17.1902869597185,,16.019628781773,,,14.5022570430385,,,,,12.4051748721733,,,,,10.7526036691287,10.462300344253,10.1864096782736,
HRV,,,,,,,,,,,34.8,,,,,35.1,,35.3,,,35.5,,,,,36.1,,,,,36.7,36.8,37.0,
HTI,,,,,,,,,,,11.4,,,,,10.4,,10.1,,,9.6,,,,,8.9,,,,,8.3,8.2,8.1,
HUN,,,,,,,,,,,37.5,,,,,36.1,,35.6,,,34.9,,,,,33.8,,,,,32.6,32.4,32.2,
IBD,,,,,,,,,,,35.1746964561043,,,,,31.7609385489606,,30.4871783754585,,,28.7639589214153,,,,,26.1966793060303,,,,,24.0272846557175,23.5895989845565,23.2559914610394,
IBT,,,,,,,,,,,34.6551408009352,,,,,30.9680803466862,,29.5937980305348,,,27.7070820557784,,,,,24.9211055853413,,,,,22.5375660639767,22.0710565521494,21.6849521631333,
IDA,,,,,,,,,,,32.2115670935105,,,,,27.3893255890676,,25.6466346942394,,,23.212347864658,,,,,19.8210120754063,,,,,16.9807678986026,16.4959703485702,16.0086785314244,
IDB,,,,,,,,,,,25.5830494563338,,,,,21.5801034736734,,20.2551400554762,,,18.312379833092,,,,,15.4095331448137,,,,,13.0091258593836,12.5676197231927,12.1888112177165,
IDN,,,,,,,,,,,35.2,,,,,35.5,,35.8,,,36.2,,,,,37.1,,,,,37.8,37.9,38.2,
